date,est,y_sample,date
1993-06-01,96.7076353188951,96.561,1993-06-01
1993-07-01,96.66100710913727,96.575,1993-07-01
1993-08-01,96.5572788445137,96.70200000000001,1993-08-01
1993-09-01,96.64856690508311,96.68299999999999,1993-09-01
1993-10-01,96.68499086955063,96.584,1993-10-01
1993-11-01,96.68561456902049,96.43299999999999,1993-11-01
1993-12-01,96.62485044021905,96.439,1993-12-01
1994-01-01,96.5221220218153,96.544,1994-01-01
1994-02-01,96.49886030367412,96.01899999999999,1994-02-01
1994-03-01,96.4535319582414,95.62200000000001,1994-03-01
1994-04-01,96.26065940714057,95.13799999999999,1994-04-01
1994-05-01,95.78191931054913,94.84100000000001,1994-05-01
1994-06-01,95.36912744191447,94.71799999999999,1994-06-01
1994-07-01,94.98758143501215,94.806,1994-07-01
1994-08-01,94.81433238331194,94.681,1994-08-01
